Level 1,Level 2,Level 3,Measure Names,NegPos_Number,List of Values,Measure Values
2016FA,Drama--B5012,,Count of Migrated Data,0 Days,All,4
2016FA,Drama--B5012,,Current Enrollment,0 Days,All,150
2016FA,Drama--L5012,,Wsch/Ftef,0 Days,All,577.093660318
2016FA,Drama--L5012,,Success Rate,0 Days,All,0.762162162
2016FA,Drama--L5012,,Sec. Count,0 Days,All,17
2016FA,Drama--L5012,,Retention Rate,0 Days,All,0.859459459
2016FA,Drama--L5012,,Number Retained,0 Days,All,477
2016FA,Drama--L5012,,Ftes/Ftef,0 Days,All,19.201669710
2016FA,Drama--L5012,,Current Fill Rate,0 Days,All,0.820105820
2016FA,Drama--L5012,,Census Fill Rate,0 Days,All,0.820105820
2016FA,Drama--L5012,,Census Enrollment,0 Days,All,620
2016FA,Drama--L5012,,Number Successful,0 Days,All,423
2016FA,Drama--L5012,,Ftef,0 Days,All,3.833
2016FA,Drama--L5012,,Ftes,0 Days,All,73.6
2016FA,Drama--L5012,,Enrollment Capacity,0 Days,All,756
2016FA,Drama--L5012,,Count of Migrated Data,0 Days,All,17
2016FA,Drama--L5012,,Current Enrollment,0 Days,All,620
2016FA,English As a Second Language--L5016,,Wsch/Ftef,0 Days,All,253.533190578
2016FA,English As a Second Language--L5016,,Success Rate,0 Days,All,0.846666667
2016FA,English As a Second Language--L5016,,Sec. Count,0 Days,All,9
2016FA,English As a Second Language--L5016,,Retention Rate,0 Days,All,0.92
2016FA,English As a Second Language--L5016,,Number Retained,0 Days,All,138
2016FA,English As a Second Language--L5016,,Ftes/Ftef,0 Days,All,8.449678801
2016FA,English As a Second Language--L5016,,Current Fill Rate,0 Days,All,0.456790123
2016FA,English As a Second Language--L5016,,Census Fill Rate,0 Days,All,0.456790123
2016FA,English As a Second Language--L5016,,Census Enrollment,0 Days,All,148
2016FA,English As a Second Language--L5016,,Number Successful,0 Days,All,127
2016FA,English As a Second Language--L5016,,Ftef,0 Days,All,2.335
2016FA,English As a Second Language--L5016,,Ftes,0 Days,All,19.73
2016FA,English As a Second Language--L5016,,Enrollment Capacity,0 Days,All,324
2016FA,English As a Second Language--L5016,,Count of Migrated Data,0 Days,All,9
2016FA,English As a Second Language--L5016,,Current Enrollment,0 Days,All,148
2016FA,English--B5013,,Wsch/Ftef,0 Days,All,336.071428571
2016FA,English--B5013,,Success Rate,0 Days,All,0.731601732
2016FA,English--B5013,,Sec. Count,0 Days,All,25
2016FA,English--B5013,,Retention Rate,0 Days,All,0.868686869
2016FA,English--B5013,,Number Retained,0 Days,All,602
2016FA,English--B5013,,Ftes/Ftef,0 Days,All,11.198809524
2016FA,English--B5013,,Current Fill Rate,0 Days,All,0.944365193
2016FA,English--B5013,,Census Fill Rate,0 Days,All,0.944365193
2016FA,English--B5013,,Census Enrollment,0 Days,All,662
2016FA,English--B5013,,Number Successful,0 Days,All,507
2016FA,English--B5013,,Ftef,0 Days,All,8.4
2016FA,English--B5013,,Ftes,0 Days,All,94.07
2016FA,English--B5013,,Enrollment Capacity,0 Days,All,701
2016FA,English--B5013,,Count of Migrated Data,0 Days,All,25
2016FA,English--B5013,,Current Enrollment,0 Days,All,662
2016FA,English--L5013,,Wsch/Ftef,0 Days,All,329.875070246
2016FA,English--L5013,,Success Rate,0 Days,All,0.719463754
2016FA,English--L5013,,Sec. Count,0 Days,All,78
2016FA,English--L5013,,Retention Rate,0 Days,All,0.849056604
2016FA,English--L5013,,Number Retained,0 Days,All,1710
2016FA,English--L5013,,Ftes/Ftef,0 Days,All,10.995547486
2016FA,English--L5013,,Current Fill Rate,0 Days,All,0.584245742
2016FA,English--L5013,,Census Fill Rate,0 Days,All,0.584245742
2016FA,English--L5013,,Census Enrollment,0 Days,All,1921
2016FA,English--L5013,,Number Successful,0 Days,All,1449
2016FA,English--L5013,,Ftef,0 Days,All,23.133
2016FA,English--L5013,,Ftes,0 Days,All,254.36
2016FA,English--L5013,,Enrollment Capacity,0 Days,All,3288
2016FA,English--L5013,,Count of Migrated Data,0 Days,All,78
2016FA,English--L5013,,Current Enrollment,0 Days,All,1921
2016FA,Fire Technology--B6002,,Wsch/Ftef,0 Days,All,513.428120063
2016FA,Fire Technology--B6002,,Success Rate,0 Days,All,0.721153846
2016FA,Fire Technology--B6002,,Sec. Count,0 Days,All,3
2016FA,Fire Technology--B6002,,Retention Rate,0 Days,All,0.846153846
2016FA,Fire Technology--B6002,,Number Retained,0 Days,All,88
2016FA,Fire Technology--B6002,,Ftes/Ftef,0 Days,All,17.124802528
2016FA,Fire Technology--B6002,,Current Fill Rate,0 Days,All,0.740740741
2016FA,Fire Technology--B6002,,Census Fill Rate,0 Days,All,0.740740741
